source_level,source_authority,source_dataset,source_record_id,source_url,source_file,name,name_kana,place_name,address_detail,owner,address,municipality,municipality_code,category,type,designation,designation_date,latitude,longitude,entity_class,geometry_role,designation_level,raw_category,raw_type,raw_designation
national,文化庁,文化遺産オンライン／国指定文化財等データベース,198446,https://online.bunka.go.jp/heritages/detail/198446,13Tokyo/raw/national/records.jsonl,上野前橋天神山古墳出土品 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,135104,https://online.bunka.go.jp/heritages/detail/135104,13Tokyo/raw/national/records.jsonl,豊前求菩提山経塚出土品 文化遺産オンライン,,,,,,,,,,national,宗教法人国玉神社,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,135287,https://online.bunka.go.jp/heritages/detail/135287,13Tokyo/raw/national/records.jsonl,石人 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,202113,https://online.bunka.go.jp/heritages/detail/202113,13Tokyo/raw/national/records.jsonl,大森貝塚出土品 文化遺産オンライン,,,,,,,,,,national,国立大学法人東京大学,35.7085851,139.76120023,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,159471,https://online.bunka.go.jp/heritages/detail/159471,13Tokyo/raw/national/records.jsonl,岩版 文化遺産オンライン,,,,,,,,,,national,学校法人慶應義塾,35.64923529,139.74286758,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,206930,https://online.bunka.go.jp/heritages/detail/206930,13Tokyo/raw/national/records.jsonl,岩偶 文化遺産オンライン,,,,,,,,,,national,学校法人慶應義塾,35.64923529,139.74286758,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,157968,https://online.bunka.go.jp/heritages/detail/157968,13Tokyo/raw/national/records.jsonl,壺形土器 文化遺産オンライン,,,,,,,,,,national,国(文化庁),35.718887,139.776527,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,135277,https://online.bunka.go.jp/heritages/detail/135277,13Tokyo/raw/national/records.jsonl,硬玉製玉斧 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,213189,https://online.bunka.go.jp/heritages/detail/213189,13Tokyo/raw/national/records.jsonl,人形装飾付異形注口土器 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,198406,https://online.bunka.go.jp/heritages/detail/198406,13Tokyo/raw/national/records.jsonl,和泉黄金塚古墳出土品 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,159451,https://online.bunka.go.jp/heritages/detail/159451,13Tokyo/raw/national/records.jsonl,双羊尊 文化遺産オンライン,,,,,,,,,,national,財団法人根津美術館,35.66225119,139.71708348,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,213179,https://online.bunka.go.jp/heritages/detail/213179,13Tokyo/raw/national/records.jsonl,足形付土製品 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,157948,https://online.bunka.go.jp/heritages/detail/157948,13Tokyo/raw/national/records.jsonl,巻貝形土製品 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,187482,https://online.bunka.go.jp/heritages/detail/187482,13Tokyo/raw/national/records.jsonl,銀杯 文化遺産オンライン,,,,,,,,,,national,国宝・重要文化財(美術品),35.7132338,139.72322345,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,159441,https://online.bunka.go.jp/heritages/detail/159441,13Tokyo/raw/national/records.jsonl,銀胡人像 文化遺産オンライン,,,,,,,,,,national,国宝・重要文化財(美術品),35.7132338,139.72322345,point,representative_point,national,,,
