source_level,source_authority,source_dataset,source_record_id,source_url,source_file,name,name_kana,place_name,address_detail,owner,address,municipality,municipality_code,category,type,designation,designation_date,latitude,longitude,entity_class,geometry_role,designation_level,raw_category,raw_type,raw_designation,_designation_reason,designation_level_code,designation_level_ja,designation_status_code,designation_status_ja,heritage_type_major_code,heritage_type_major_ja,heritage_type_detail,classification_confidence
municipal_source,新宿区,新宿区の文化財一覧,13104:40,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,十大弟子図 谷文晁筆,,,,,東京都新宿区榎町77,新宿区,13104,,,ambiguous,,35.70661,139.72807,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:41,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,永福寺の銅造大日如来坐像,,,,,東京都新宿区新宿7-11-2,新宿区,13104,,,ambiguous,,35.69808,139.712437,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:42,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,永福寺の銅造地蔵菩薩半跏像,,,,,東京都新宿区新宿7-11-2,新宿区,13104,,,ambiguous,,35.698078,139.712458,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:43,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,済松寺の加藤文麗筆絵画作品,,,,,東京都新宿区榎町77,新宿区,13104,,,ambiguous,,35.706094,139.727816,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:44,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,谷文晁の絵,,,,,東京都新宿区上落合一丁目26-19,新宿区,13104,,,ambiguous,,35.71285,139.69092,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:45,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,月見岡八幡神社の鰐口,,,,,東京都新宿区上落合一丁目26-19,新宿区,13104,,,ambiguous,,35.71285,139.69092,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:46,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,市谷亀岡八幡宮の軍配団扇,,,,,東京都新宿区市谷八幡町15,新宿区,13104,,,ambiguous,,35.69249,139.73428,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:47,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,林光寺の高僧先達連座画像,,,,,東京都新宿区南元町15-3,新宿区,13104,,,ambiguous,,35.67962,139.7231,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:48,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,木造十一面観音坐像,,,,,東京都新宿区袋町15,新宿区,13104,,,ambiguous,,35.7006,139.73819,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:49,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,亮朝院の梵鐘,,,,,東京都新宿区西早稲田三丁目16-24,新宿区,13104,,,ambiguous,,35.71174,139.71346,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:50,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,宝泉寺の梵鐘,,,,,東京都新宿区西早稲田一丁目1-2,新宿区,13104,,,ambiguous,,35.70743,139.71909,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:51,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,銅造地蔵菩薩半跏像,,,,,東京都新宿区喜久井町61,新宿区,13104,,,ambiguous,,35.70485,139.71944,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:52,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,正受院の梵鐘,,,,,東京都新宿区新宿二丁目15-20,新宿区,13104,,,ambiguous,,35.69101,139.70885,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:53,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,西迎寺の梵鐘,,,,,東京都新宿区舟町13,新宿区,13104,,,ambiguous,,35.69116,139.72099,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:54,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,浄栄寺の梵鐘,,,,,東京都新宿区市谷薬王寺27,新宿区,13104,,,ambiguous,,35.69703,139.72646,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:55,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,善慶寺の梵鐘,,,,,東京都新宿区富久町2-12,新宿区,13104,,,ambiguous,,35.69268,139.71838,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:56,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,法雲寺の梵鐘,,,,,東京都新宿区愛住町10−3,新宿区,13104,,,ambiguous,,35.68972,139.71898,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:57,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,圓照寺の梵鐘,,,,,東京都新宿区北新宿三丁目23-2,新宿区,13104,,,ambiguous,,35.703906,139.69013,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:58,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,薬王院の梵鐘,,,,,東京都新宿区下落合四丁目8-2,新宿区,13104,,,ambiguous,,35.718235,139.697248,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
