source_level,source_authority,source_dataset,source_record_id,source_url,source_file,name,name_kana,place_name,address_detail,owner,address,municipality,municipality_code,category,type,designation,designation_date,latitude,longitude,entity_class,geometry_role,designation_level,raw_category,raw_type,raw_designation,designation_level_code,designation_level_ja,designation_status_code,designation_status_ja,heritage_type_major_code,heritage_type_major_ja,heritage_type_detail,classification_confidence
national,文化庁,国指定文化財等データベース CSV export,official_export_001:55,,13Tokyo/raw/national/official_export_001.csv,慶応義塾三田演説館,,,,,東京都港区三田二丁目15番45号,港区,13103,国宝・重要文化財(建造物),建造物,national,,35.64829815,139.74228277,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:56,,13Tokyo/raw/national/official_export_001.csv,厳有院霊廟奥院,,,,,東京都台東区上野桜木一丁目,台東区,13106,国宝・重要文化財(建造物),建造物,national,,35.7217173,139.77623543,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:57,,13Tokyo/raw/national/official_export_001.csv,厳有院霊廟奥院,,,,,東京都台東区上野桜木一丁目,台東区,13106,国宝・重要文化財(建造物),建造物,national,,35.7217173,139.77623543,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:58,,13Tokyo/raw/national/official_export_001.csv,厳有院霊廟勅額門及び水盤舎,,,,,東京都台東区上野桜木一丁目,台東区,13106,国宝・重要文化財(建造物),建造物,national,,35.72028391,139.7769679,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:59,,13Tokyo/raw/national/official_export_001.csv,厳有院霊廟勅額門及び水盤舎,,,,,東京都台東区上野桜木一丁目,台東区,13106,国宝・重要文化財(建造物),建造物,national,,35.72055392,139.77792705,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:60,,13Tokyo/raw/national/official_export_001.csv,国立西洋美術館本館,,,,,東京都台東区上野公園7番7号,台東区,13106,国宝・重要文化財(建造物),建造物,national,,35.71544229,139.77585346,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:61,,13Tokyo/raw/national/official_export_001.csv,護国寺月光殿(旧日光院客殿),,,,,東京都文京区大塚五丁目,文京区,13105,国宝・重要文化財(建造物),建造物,national,,35.72102261,139.7253928,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:62,,13Tokyo/raw/national/official_export_001.csv,護国寺本堂,,,,,東京都文京区大塚五丁目,文京区,13105,国宝・重要文化財(建造物),建造物,national,,35.72182412,139.72559266,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:63,,13Tokyo/raw/national/official_export_001.csv,旧近衛師団司令部庁舎,,,,,東京都千代田区北の丸公園,千代田区,13101,国宝・重要文化財(建造物),建造物,national,,35.68963434,139.75044698,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:64,,13Tokyo/raw/national/official_export_001.csv,小林家住宅(東京都西多摩郡檜原村),,,,,東京都西多摩郡檜原村藤原4994番地,檜原村,13307,国宝・重要文化財(建造物),建造物,national,,35.74844848,139.07761016,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:65,,13Tokyo/raw/national/official_export_001.csv,金剛寺仁王門,,,,,東京都日野市高幡,日野市,13212,国宝・重要文化財(建造物),建造物,national,,35.66204055,139.41103132,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:66,,13Tokyo/raw/national/official_export_001.csv,金剛寺不動堂,,,,,東京都日野市高幡,日野市,13212,国宝・重要文化財(建造物),建造物,national,,35.66207027,139.41064547,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
