museum_id,facility_name,municipality_code,municipality_name,address_raw,address_normalized,postal_code,latitude,longitude,location_type,address_source_url,source_authority,extraction_method,geocoder,geocode_score,match_level,coordinate_level,coordinate_use,review_status,review_reason,retrieved_at,content_sha256,notes
MUS-aa1609d7a998,史跡湯島聖堂 財団法人斯文会,13105,文京区,東京都文京区湯島1丁目4番25号 湯島聖堂内,東京都文京区湯島1丁目4番25号湯島聖堂内,,35.699715,139.766891,facility_location,https://www.city.bunkyo.lg.jp/b014/p004189.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-aa72866cf092,東京農業大学「食と農」の博物館,13112,世田谷区,東京都世田谷区上用賀2-4-28,東京都世田谷区上用賀2-4-28,158-0098,35.638912,139.632034,facility_location,https://www.nodai.ac.jp/campus/facilities/syokutonou/,facility_or_public_official,html_text,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,a6f336ac85ca5c353e8d2891714e7a77b366ae295ddab46ce2cf5d0fc00240ed,address_score=100
MUS-aabc3cacbbbf,東京富士美術館,13201,八王子市,東京都八王子市谷野町492-1,東京都八王子市谷野町492-1,,35.685417,139.325089,facility_location,https://online.bunka.go.jp/museums/detail/12257,agency_cultural_portal,structured_detail_page,digital_agency_abr,1,parcel,machiaza,plateau_query,accepted,,2026-09-06T16:34:45+00:00,12028b1cab607135f03194a60e95660763bfac59abfe8ef5f3b8b5acb2e9b7e5,
MUS-ac49a46ba464,東京オペラシティアートギャラリー,13104,新宿区,東京都新宿区西新宿3-20-2,東京都新宿区西新宿3-20-2,163-1403,35.684101,139.685852,facility_location,https://www.operacity.jp/ag/access/,facility_official,verified_override,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,施設公式アクセスページで所在地を確認 2026-09-06
MUS-acce509ac8c5,サントリー美術館,13103,港区,東京都港区赤坂9-7-4 東京ミッドタウン ガレリア3階,東京都港区赤坂9-7-4東京ミッドタウンガレリア3階,,35.65807,139.751602,facility_location,https://www.minato-rekishi.com/musenet/museumlist.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,machiaza_detail,city,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
MUS-ad8f78f2afa3,昭和館,13101,千代田区,東京都千代田区九段南1-6-1,東京都千代田区九段南1-6-1,102-0074,35.695198,139.75116,facility_location,https://museum.net.city.chiyoda.lg.jp/list/shisetsu/05.php,facility_or_public_official,html_text,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,a4450b54c613f19c60631abfade54e784ac59ca937a29339b73cef6fe12dae4a,address_score=90
MUS-ae6d2973f2dc,恩賜上野動物園,13106,台東区,東京都台東区上野公園9-83,東京都台東区上野公園9-83,,35.715878,139.772903,facility_location,https://museum.bunka.go.jp/guide/,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-af7b3a0e9e17,お茶の文化創造博物館,13103,港区,東京都港区東新橋1-5-3 旧新橋停車場内,東京都港区東新橋1-5-3旧新橋停車場内,105-0021,35.665634,139.761398,facility_location,https://www.ochamuseum.jp/culture/,facility_or_public_official,html_text,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,3d170979d6bbd20cbe7469f60c82e0f5b409c44363804f6ef3b7492c1ba58efe,address_score=125
MUS-b00f6cb907cf,こども鉱物館,13113,渋谷区,東京都渋谷区神宮前2-30-4,東京都渋谷区神宮前2-30-4,,35.67448,139.709412,facility_location,https://jcsm.jp/list/membership/,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-b0193cd67f25,国立科学博物館附属自然教育園,13103,港区,東京都港区白金台5-21-5,東京都港区白金台5-21-5,,35.636604,139.719666,facility_location,https://www.minato-rekishi.com/musenet/museumlist.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
MUS-b0b7f7db66da,トーキョーアーツアンドスペース本郷,13105,文京区,東京都文京区本郷2丁目4番16号,東京都文京区本郷2丁目4番16号,,35.70303,139.759277,facility_location,https://www.city.bunkyo.lg.jp/b014/p004189.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-b0da587ad20c,キヤノンギャラリー S,13103,港区,東京都港区港南2-16-6 キヤノン S タワー,東京都港区港南2-16-6キヤノンSタワー,,35.626488,139.740677,facility_location,https://www.minato-rekishi.com/musenet/museumlist.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
MUS-b2f65beb4419,古賀政男音楽博物館,13113,渋谷区,東京都渋谷区上原三丁目6-12,東京都渋谷区上原三丁目6-12,151-0064,35.668114,139.679489,facility_location,https://www.koga.or.jp/access/,facility_official,verified_override,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,施設公式アクセスページで所在地を確認 2026-09-06
MUS-b3177c863a13,肥後細川庭園,13105,文京区,東京都文京区目白台1丁目1番22号,東京都文京区目白台1丁目1番22号,,35.713047,139.721603,facility_location,https://www.city.bunkyo.lg.jp/b014/p004189.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-b3ab9afa5fce,森美術館,13103,港区,東京都港区六本木6-10-1 六本木ヒルズ森タワー53階,東京都港区六本木6-10-1六本木ヒルズ森タワー53階,,35.660206,139.729202,facility_location,https://museum.bunka.go.jp/guide/,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
