record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
official_export_001:77,13106,台東区,National,Designated,有形文化財,建造物,building_direct,常憲院霊廟勅額門及び水盤舎,5.873,都心西部直下地震,6弱
official_export_001:85,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺伝法院,5.991,都心西部直下地震,6弱
official_export_001:86,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺伝法院,5.991,都心西部直下地震,6弱
official_export_001:87,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺伝法院,5.991,都心西部直下地震,6弱
official_export_001:88,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺伝法院,5.991,都心西部直下地震,6弱
official_export_001:89,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺伝法院,5.991,都心西部直下地震,6弱
official_export_001:90,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺伝法院,5.967,都心西部直下地震,6弱
official_export_001:91,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺二天門,5.92,都心西部直下地震,6弱
official_export_001:104,13106,台東区,National,Designated,有形文化財,建造物,building_direct,旧東京音楽学校奏楽堂,5.787,都心西部直下地震,6弱
official_export_001:105,13106,台東区,National,Designated,有形文化財,建造物,building_direct,旧東京帝室博物館本館,5.839,都心西部直下地震,6弱
official_export_001:107,13106,台東区,National,Designated,有形文化財,建造物,building_direct,東照宮社殿,5.723,都心西部直下地震,6弱
official_export_001:108,13106,台東区,National,Designated,有形文化財,建造物,building_direct,東照宮社殿,5.723,都心西部直下地震,6弱
official_export_001:109,13106,台東区,National,Designated,有形文化財,建造物,building_direct,東照宮社殿,5.723,都心西部直下地震,6弱
official_export_001:110,13106,台東区,National,Designated,有形文化財,建造物,building_direct,東照宮社殿,5.824,都心西部直下地震,6弱
official_export_001:126,13106,台東区,National,Designated,有形文化財,建造物,building_direct,表慶館,5.818,都心西部直下地震,6弱
official_export_002:28,13106,台東区,National,Registered,有形文化財,建造物,building_direct,伊勢屋店舗兼主屋,6.397,都心西部直下地震,6強以上
official_export_002:29,13106,台東区,National,Registered,有形文化財,建造物,building_direct,市田家住宅裏門,6.132,都心西部直下地震,6強以上
official_export_002:30,13106,台東区,National,Registered,有形文化財,建造物,building_direct,市田家住宅表門,5.828,都心西部直下地震,6弱
official_export_002:31,13106,台東区,National,Registered,有形文化財,建造物,building_direct,市田家住宅蔵,6.132,都心西部直下地震,6強以上
official_export_002:32,13106,台東区,National,Registered,有形文化財,建造物,building_direct,市田家住宅主屋,6.132,都心西部直下地震,6強以上
official_export_002:40,13106,台東区,National,Registered,有形文化財,建造物,building_direct,今半別館北棟,5.95,都心西部直下地震,6弱
official_export_002:41,13106,台東区,National,Registered,有形文化財,建造物,building_direct,今半別館玄関棟,5.954,都心西部直下地震,6弱
