river,municipality_code,municipality_name,0–0.5 m,0.5–3 m,3–5 m,5 m以上,Total
多摩川,13219,板橋区,0,0,0,0,0
多摩川,13219,江戸川区,0,0,0,0,0
多摩川,13219,江東区,0,0,0,0,0
多摩川,13219,港区,0,0,0,0,0
多摩川,13219,狛江市,0,1,0,0,1
多摩川,13219,目黒区,0,0,0,0,0
多摩川,13219,福生市,0,0,0,0,0
多摩川,13219,荒川区,0,0,0,0,0
多摩川,13219,葛飾区,0,0,0,0,0
多摩川,13219,調布市,0,0,0,0,0
多摩川,13219,足立区,0,0,0,0,0
多摩川,13219,青梅市,0,0,0,0,0
多摩川,13228,あきる野市,0,0,0,0,0
多摩川,13228,中央区,0,0,0,0,0
多摩川,13228,千代田区,0,0,0,0,0
多摩川,13228,台東区,0,0,0,0,0
多摩川,13228,国立市,0,0,0,0,0
多摩川,13228,墨田区,0,0,0,0,0
多摩川,13228,大田区,0,0,0,0,0
多摩川,13228,府中市,0,0,0,0,0
多摩川,13228,日野市,0,0,0,0,0
多摩川,13228,昭島市,0,0,0,0,0
多摩川,13228,板橋区,0,0,0,0,0
多摩川,13228,江戸川区,0,0,0,0,0
多摩川,13228,江東区,0,0,0,0,0
多摩川,13228,港区,0,0,0,0,0
多摩川,13228,狛江市,0,0,0,0,0
多摩川,13228,目黒区,0,0,0,0,0
多摩川,13228,福生市,0,0,0,0,0
多摩川,13228,荒川区,0,0,0,0,0
多摩川,13228,葛飾区,0,0,0,0,0
多摩川,13228,調布市,0,0,0,0,0
多摩川,13228,足立区,0,0,0,0,0
多摩川,13228,青梅市,0,0,0,0,0
荒川,13101,あきる野市,0,0,0,0,0
荒川,13101,中央区,0,0,0,0,0
荒川,13101,千代田区,5,0,0,0,5
荒川,13101,台東区,0,0,0,0,0
荒川,13101,国立市,0,0,0,0,0
荒川,13101,墨田区,0,0,0,0,0
荒川,13101,大田区,0,0,0,0,0
荒川,13101,府中市,0,0,0,0,0
荒川,13101,日野市,0,0,0,0,0
荒川,13101,昭島市,0,0,0,0,0
荒川,13101,板橋区,0,0,0,0,0
荒川,13101,江戸川区,0,0,0,0,0
荒川,13101,江東区,0,0,0,0,0
荒川,13101,港区,0,0,0,0,0
荒川,13101,狛江市,0,0,0,0,0
荒川,13101,目黒区,0,0,0,0,0
荒川,13101,福生市,0,0,0,0,0
荒川,13101,荒川区,0,0,0,0,0
荒川,13101,葛飾区,0,0,0,0,0
荒川,13101,調布市,0,0,0,0,0
荒川,13101,足立区,0,0,0,0,0
荒川,13101,青梅市,0,0,0,0,0
荒川,13102,あきる野市,0,0,0,0,0
荒川,13102,中央区,2,10,0,0,12
荒川,13102,千代田区,0,0,0,0,0
荒川,13102,台東区,0,0,0,0,0
荒川,13102,国立市,0,0,0,0,0
荒川,13102,墨田区,0,0,0,0,0
荒川,13102,大田区,0,0,0,0,0
荒川,13102,府中市,0,0,0,0,0
荒川,13102,日野市,0,0,0,0,0
荒川,13102,昭島市,0,0,0,0,0
荒川,13102,板橋区,0,0,0,0,0
荒川,13102,江戸川区,0,0,0,0,0
荒川,13102,江東区,0,0,0,0,0
荒川,13102,港区,0,0,0,0,0
荒川,13102,狛江市,0,0,0,0,0
荒川,13102,目黒区,0,0,0,0,0
荒川,13102,福生市,0,0,0,0,0
荒川,13102,荒川区,0,0,0,0,0
荒川,13102,葛飾区,0,0,0,0,0
荒川,13102,調布市,0,0,0,0,0
荒川,13102,足立区,0,0,0,0,0
荒川,13102,青梅市,0,0,0,0,0
荒川,13103,あきる野市,0,0,0,0,0
荒川,13103,中央区,0,0,0,0,0
荒川,13103,千代田区,0,0,0,0,0
荒川,13103,台東区,0,0,0,0,0
荒川,13103,国立市,0,0,0,0,0
荒川,13103,墨田区,0,0,0,0,0
荒川,13103,大田区,0,0,0,0,0
荒川,13103,府中市,0,0,0,0,0
荒川,13103,日野市,0,0,0,0,0
荒川,13103,昭島市,0,0,0,0,0
荒川,13103,板橋区,0,0,0,0,0
荒川,13103,江戸川区,0,0,0,0,0
荒川,13103,江東区,0,0,0,0,0
荒川,13103,港区,1,0,0,0,1
荒川,13103,狛江市,0,0,0,0,0
荒川,13103,目黒区,0,0,0,0,0
荒川,13103,福生市,0,0,0,0,0
荒川,13103,荒川区,0,0,0,0,0
荒川,13103,葛飾区,0,0,0,0,0
荒川,13103,調布市,0,0,0,0,0
荒川,13103,足立区,0,0,0,0,0
荒川,13103,青梅市,0,0,0,0,0
荒川,13106,あきる野市,0,0,0,0,0
荒川,13106,中央区,0,0,0,0,0
荒川,13106,千代田区,0,0,0,0,0
荒川,13106,台東区,1,38,14,0,53
荒川,13106,国立市,0,0,0,0,0
荒川,13106,墨田区,0,0,0,0,0
荒川,13106,大田区,0,0,0,0,0
荒川,13106,府中市,0,0,0,0,0
荒川,13106,日野市,0,0,0,0,0
荒川,13106,昭島市,0,0,0,0,0
荒川,13106,板橋区,0,0,0,0,0
荒川,13106,江戸川区,0,0,0,0,0
荒川,13106,江東区,0,0,0,0,0
荒川,13106,港区,0,0,0,0,0
荒川,13106,狛江市,0,0,0,0,0
荒川,13106,目黒区,0,0,0,0,0
