record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,scenario,risk_value,risk_type,risk_type_ja,risk_class,hazard_source,risk_basis
official_export_002:120,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社幣殿,都心南部直下地震,14.70333333,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_002:121,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社宝庫,南海トラフ巨大地震,3.563333333,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_002:121,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社宝庫,多摩東部直下地震,14.44666667,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_002:121,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社宝庫,大正関東地震,11.16,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_002:121,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社宝庫,都心南部直下地震,14.70333333,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_002:122,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社本殿,南海トラフ巨大地震,3.563333333,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_002:122,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社本殿,多摩東部直下地震,14.44666667,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_002:122,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社本殿,大正関東地震,11.16,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_002:122,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社本殿,都心南部直下地震,14.70333333,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_002:123,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社瑞垣,南海トラフ巨大地震,3.563333333,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_002:123,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社瑞垣,多摩東部直下地震,14.44666667,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_002:123,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社瑞垣,大正関東地震,11.16,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_002:123,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社瑞垣,都心南部直下地震,14.70333333,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_002:153,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧九段会館,南海トラフ巨大地震,0.522,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
