municipality_code,municipality_name,その他,保存技術,区指定文化財,史跡,名勝,国宝,天然記念物,工芸技術,市郷土資料,建造物,技芸,文化的景観,旧跡,有形民俗文化財,有形民俗文化財(民俗),有形民俗文化財(金石文等),未細分,歴史資料,民俗テーマ(生活技術),無形民俗文化財,無形民俗文化財(民俗芸能),無形民俗文化財(風俗慣習),Total
13209,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13210,小金井市,0,0,0,3,1,0,4,0,0,3,0,0,1,11,0,0,14,0,0,4,1,0,42
13210,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13211,小平市,0,0,0,6,1,0,4,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,20
13211,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13212,日野市,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,7
13212,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13213,東村山市,0,0,0,4,0,1,4,0,0,1,0,0,5,15,0,0,14,0,0,2,0,0,46
13213,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13214,国分寺市,32,0,0,0,1,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,45
13214,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13215,国立市,0,0,0,3,0,0,2,0,0,4,0,0,4,0,0,0,70,0,0,0,0,0,83
13215,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13218,福生市,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15
13218,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13219,狛江市,0,0,0,3,0,0,1,0,1,4,5,0,1,0,0,0,0,1,0,0,0,0,16
13219,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13220,東大和市,0,0,0,6,0,0,0,0,8,7,1,0,8,0,0,0,0,0,0,0,0,0,30
13220,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13221,清瀬市,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
13221,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13222,東久留米市,0,0,0,11,0,0,1,0,0,15,0,0,6,35,0,0,23,0,0,5,0,0,96
13222,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13223,武蔵村山市,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13223,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13224,多摩市,0,0,0,3,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8
13224,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13225,稲城市,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13225,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13227,羽村市,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
13227,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
