municipality_code,municipality_name,その他,文化的景観,文化財保存技術,有形文化財,未判定,民俗文化財,無形文化財,記念物,Total
13108,小金井市,0,0,0,0,0,0,0,0,0
13108,府中市,0,0,0,0,0,0,0,0,0
13108,文京区,0,0,0,0,0,0,0,0,0
13108,新宿区,0,0,0,0,0,0,0,0,0
13108,新島村,0,0,0,0,0,0,0,0,0
13108,日の出町,0,0,0,0,0,0,0,0,0
13108,日野市,0,0,0,0,0,0,0,0,0
13108,昭島市,0,0,0,0,0,0,0,0,0
13108,杉並区,0,0,0,0,0,0,0,0,0
13108,東久留米市,0,0,0,0,0,0,0,0,0
13108,東大和市,0,0,0,0,0,0,0,0,0
13108,東村山市,0,0,0,0,0,0,0,0,0
13108,板橋区,0,0,0,0,0,0,0,0,0
13108,檜原村,0,0,0,0,0,0,0,0,0
13108,武蔵村山市,0,0,0,0,0,0,0,0,0
13108,武蔵野市,0,0,0,0,0,0,0,0,0
13108,江戸川区,0,0,0,0,0,0,0,0,0
13108,江東区,0,0,0,131,0,9,0,259,399
13108,清瀬市,0,0,0,0,0,0,0,0,0
13108,渋谷区,0,0,0,0,0,0,0,0,0
13108,港区,0,0,0,0,0,0,0,0,0
13108,狛江市,0,0,0,0,0,0,0,0,0
13108,町田市,0,0,0,0,0,0,0,0,0
13108,目黒区,0,0,0,0,0,0,0,0,0
13108,福生市,0,0,0,0,0,0,0,0,0
13108,稲城市,0,0,0,0,0,0,0,0,0
13108,立川市,0,0,0,0,0,0,0,0,0
13108,練馬区,0,0,0,0,0,0,0,0,0
13108,羽村市,0,0,0,0,0,0,0,0,0
13108,荒川区,0,0,0,0,0,0,0,0,0
13108,葛飾区,0,0,0,0,0,0,0,0,0
13108,西東京市,0,0,0,0,0,0,0,0,0
13108,調布市,0,0,0,0,0,0,0,0,0
13108,豊島区,0,0,0,0,0,0,0,0,0
13108,足立区,0,0,0,0,0,0,0,0,0
13108,青ケ島村,0,0,0,0,0,0,0,0,0
13108,青梅市,0,0,0,0,0,0,0,0,0
13109,あきる野市,0,0,0,0,0,0,0,0,0
13109,三宅村,0,0,0,0,0,0,0,0,0
13109,三鷹市,0,0,0,0,0,0,0,0,0
13109,世田谷区,0,0,0,0,0,0,0,0,0
13109,中央区,0,0,0,0,0,0,0,0,0
13109,中野区,0,0,0,0,0,0,0,0,0
13109,八丈町,0,0,0,0,0,0,0,0,0
13109,八王子市,0,0,0,0,0,0,0,0,0
13109,利島村,0,0,0,0,0,0,0,0,0
13109,千代田区,0,0,0,0,0,0,0,0,0
13109,台東区,0,0,0,0,0,0,0,0,0
13109,品川区,0,0,0,10,0,0,0,4,14
13109,国分寺市,0,0,0,0,0,0,0,0,0
13109,国立市,0,0,0,0,0,0,0,0,0
13109,墨田区,0,0,0,0,0,0,0,0,0
13109,多摩市,0,0,0,0,0,0,0,0,0
13109,大島町,0,0,0,0,0,0,0,0,0
13109,大田区,0,0,0,0,0,0,0,0,0
13109,小平市,0,0,0,0,0,0,0,0,0
13109,小金井市,0,0,0,0,0,0,0,0,0
13109,府中市,0,0,0,0,0,0,0,0,0
13109,文京区,0,0,0,0,0,0,0,0,0
13109,新宿区,0,0,0,0,0,0,0,0,0
13109,新島村,0,0,0,0,0,0,0,0,0
13109,日の出町,0,0,0,0,0,0,0,0,0
13109,日野市,0,0,0,0,0,0,0,0,0
13109,昭島市,0,0,0,0,0,0,0,0,0
13109,杉並区,0,0,0,0,0,0,0,0,0
13109,東久留米市,0,0,0,0,0,0,0,0,0
13109,東大和市,0,0,0,0,0,0,0,0,0
