record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
official_export_002:61,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室葵,5.906,都心南部直下地震,6弱
official_export_002:62,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室桂,5.906,都心南部直下地震,6弱
official_export_002:63,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室守貧庵,5.906,都心南部直下地震,6弱
official_export_002:64,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室如庵写,5.906,都心南部直下地震,6弱
official_export_002:65,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮茶室山吹,5.906,都心南部直下地震,6弱
official_export_002:66,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮中門,5.906,都心南部直下地震,6弱
official_export_002:67,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮不老門,5.906,都心南部直下地震,6弱
official_export_002:68,13103,港区,National,Registered,有形文化財,建造物,building_direct,大橋茶寮塀,5.906,都心南部直下地震,6弱
official_export_002:126,13103,港区,National,Registered,有形文化財,建造物,building_direct,菊池寛実記念智美術館別館,6.089,都心南部直下地震,6強以上
official_export_002:198,13103,港区,National,Registered,有形文化財,建造物,building_direct,キリスト友会フレンズセンター,6.132,都心南部直下地震,6強以上
official_export_002:213,13103,港区,National,Registered,有形文化財,建造物,building_direct,廣度院表門及び練塀,6.001,都心南部直下地震,6強以上
official_export_002:222,13103,港区,National,Registered,有形文化財,建造物,building_direct,国際文化会館本館,6.139,都心南部直下地震,6強以上
official_export_002:256,13103,港区,National,Registered,有形文化財,建造物,building_direct,常行院納骨堂,5.99,都心南部直下地震,6弱
official_export_002:260,13103,港区,National,Registered,有形文化財,建造物,building_direct,常照院本堂内陣,5.978,都心南部直下地震,6弱
official_export_002:267,13103,港区,National,Registered,有形文化財,建造物,building_direct,心光院表門,5.973,都心南部直下地震,6弱
official_export_002:268,13103,港区,National,Registered,有形文化財,建造物,building_direct,心光院本堂,5.973,都心南部直下地震,6弱
official_export_002:345,13103,港区,National,Registered,有形文化財,建造物,building_direct,東京水産大学雲鷹丸,5.994,都心南部直下地震,6弱
official_export_002:356,13103,港区,National,Registered,有形文化財,建造物,building_direct,東京タワー,5.964,都心南部直下地震,6弱
official_export_002:365,13103,港区,National,Registered,有形文化財,建造物,building_direct,虎ノ門大坂屋砂場店舗,6.144,都心南部直下地震,6強以上
official_export_002:415,13103,港区,National,Registered,有形文化財,建造物,building_direct,堀商店,6.073,都心南部直下地震,6強以上
official_export_002:425,13103,港区,National,Registered,有形文化財,建造物,building_direct,三菱電機高輪荘蔵,6.112,都心南部直下地震,6強以上
official_export_002:426,13103,港区,National,Registered,有形文化財,建造物,building_direct,三菱電機高輪荘主屋,6.112,都心南部直下地震,6強以上
official_export_002:427,13103,港区,National,Registered,有形文化財,建造物,building_direct,三菱電機高輪荘洋館,6.112,都心南部直下地震,6強以上
official_export_002:435,13103,港区,National,Registered,有形文化財,建造物,building_direct,妙定院上土蔵,5.941,都心南部直下地震,6弱
official_export_002:436,13103,港区,National,Registered,有形文化財,建造物,building_direct,妙定院熊野堂,5.941,都心南部直下地震,6弱
official_export_003:1,13103,港区,National,Designated,記念物,天然記念物,point,浅野長矩墓および赤穂義士墓,6.213,都心南部直下地震,6強以上
official_export_003:11,13103,港区,National,Designated,記念物,天然記念物,point,荻生徂徠墓,6.22,都心南部直下地震,6強以上
official_export_003:17,13103,港区,National,Designated,記念物,天然記念物,point,旧芝離宮庭園,6.434,都心南部直下地震,6強以上
official_export_003:19,13103,港区,National,Designated,記念物,天然記念物,point,旧新橋停車場跡及び高輪築堤跡,5.958,都心南部直下地震,6弱
official_export_003:29,13103,港区,National,Designated,記念物,天然記念物,point,佐藤一斎墓,6.02,都心南部直下地震,6強以上
official_export_003:33,13103,港区,National,Designated,記念物,天然記念物,point,品川台場,6.113,都心南部直下地震,6強以上
official_export_003:38,13103,港区,National,Designated,記念物,天然記念物,point,善福寺のイチョウ,6.162,都心南部直下地震,6強以上
official_export_003:41,13103,港区,National,Designated,記念物,天然記念物,point,高輪大木戸跡,5.92,都心南部直下地震,6弱
official_export_003:49,13103,港区,National,Designated,記念物,天然記念物,point,東禅寺,6.118,都心南部直下地震,6強以上
13104:0,13104,新宿区,Unknown,Unknown,未判定,未細分,point,市谷亀岡八幡宮の銅鳥居,5.784,都心南部直下地震,6弱
13104:1,13104,新宿区,Unknown,Unknown,未判定,未細分,point,早稲田大学 坪内博士記念演劇博物館,5.815,都心南部直下地震,6弱
