record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,scenario,risk_value,risk_class,hazard_source,risk_basis,risk_type,risk_type_ja
official_export_002:90,13205,青梅市,National,Registered,有形文化財,建造物,building_direct,河鹿園稲荷社,土砂災害警戒区域,,土砂災害警戒区域,hazard_sediment_warning_a33_polygon,polygon intersection,landslide,土砂災害
official_export_002:91,13205,青梅市,National,Registered,有形文化財,建造物,building_direct,河鹿園渓梅庵,PLATEAU建築物リスク,,土砂災害警戒区域（指定済）,急傾斜地の崩落,PLATEAU building risk,landslide,土砂災害
official_export_002:92,13205,青梅市,National,Registered,有形文化財,建造物,building_direct,河鹿園山魚楼,PLATEAU建築物リスク,,土砂災害警戒区域（指定済）,急傾斜地の崩落,PLATEAU building risk,landslide,土砂災害
official_export_002:94,13205,青梅市,National,Registered,有形文化財,建造物,building_direct,河鹿園大浴場,PLATEAU建築物リスク,,土砂災害警戒区域（指定済）,急傾斜地の崩落,PLATEAU building risk,landslide,土砂災害
official_export_002:96,13205,青梅市,National,Registered,有形文化財,建造物,building_direct,河鹿園枕流亭,PLATEAU建築物リスク,,土砂災害特別警戒区域（指定済）,急傾斜地の崩落,PLATEAU building risk,landslide,土砂災害
official_export_002:96,13205,青梅市,National,Registered,有形文化財,建造物,building_direct,河鹿園枕流亭,土砂災害警戒区域,,土砂災害警戒区域,hazard_sediment_warning_a33_polygon,polygon intersection,landslide,土砂災害
official_export_002:97,13205,青梅市,National,Registered,有形文化財,建造物,building_direct,河鹿園渡廊下,PLATEAU建築物リスク,,土砂災害警戒区域（指定済）,急傾斜地の崩落,PLATEAU building risk,landslide,土砂災害
official_export_003:63,13205,青梅市,National,Designated,記念物,天然記念物,point,御岳の神代ケヤキ,土砂災害警戒区域,,土砂災害警戒区域,hazard_sediment_warning_a33_polygon,polygon intersection,landslide,土砂災害
official_export_003:63,13205,青梅市,National,Designated,記念物,天然記念物,point,御岳の神代ケヤキ,砂防指定地,,砂防指定地,hazard_sabo_designated_a52_polygon,polygon intersection,landslide,土砂災害
22,13206,府中市,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,旧府中町役場庁舎,PLATEAU建築物リスク,,土砂災害特別警戒区域（指定済）,急傾斜地の崩落,PLATEAU building risk,landslide,土砂災害
22,13206,府中市,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,旧府中町役場庁舎,土砂災害警戒区域,,土砂災害警戒区域,hazard_sediment_warning_a33_polygon,polygon intersection,landslide,土砂災害
132080100063,13208,調布市,Municipal,Designated,民俗文化財,有形民俗文化財(民俗),point,百万遍供養塔,土砂災害警戒区域,,土砂災害警戒区域,hazard_sediment_warning_a33_polygon,polygon intersection,landslide,土砂災害
official_export_002:10,13208,調布市,National,Registered,有形文化財,建造物,building_direct,新井家住宅主屋,PLATEAU建築物リスク,,土砂災害特別警戒区域（指定済）,急傾斜地の崩落,PLATEAU building risk,landslide,土砂災害
